timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-08 08:19:23,76,143,310,87,168
2025-12-08 08:20:24,77,143,310,87,169
2025-12-08 08:21:24,78,143,310,87,169
2025-12-08 08:22:24,79,143,310,87,169
2025-12-08 08:23:25,80,143,310,88,169
2025-12-08 08:24:25,81,142,310,88,169
2025-12-08 08:25:25,82,142,310,88,169
2025-12-08 08:26:25,83,141,309,88,169
2025-12-08 08:27:25,84,141,309,88,169
2025-12-08 08:28:26,85,140,309,88,169
2025-12-08 08:29:26,86,140,309,88,169
2025-12-08 08:30:26,87,140,309,88,169
2025-12-08 08:31:27,88,140,309,88,169
2025-12-08 08:32:27,89,140,309,88,169
2025-12-08 08:33:27,90,139,309,88,169
2025-12-08 08:34:27,91,139,310,88,169
2025-12-08 08:35:27,92,140,310,88,169
2025-12-08 08:36:28,93,139,310,88,169
2025-12-08 08:37:28,94,139,310,88,169
2025-12-08 08:38:28,95,138,309,88,168
2025-12-08 08:39:29,96,138,309,89,170
2025-12-08 08:40:29,97,138,308,88,169
2025-12-08 08:41:29,98,136,308,88,169
2025-12-08 08:42:30,99,136,309,88,169
2025-12-08 08:43:30,100,135,308,88,169
2025-12-08 08:44:30,101,135,310,88,169
2025-12-08 08:45:30,102,136,309,88,169
2025-12-08 08:46:31,103,138,309,88,169
2025-12-08 08:47:31,104,139,310,88,169
2025-12-08 08:48:31,105,138,310,88,169
2025-12-08 08:49:31,106,138,310,88,169
2025-12-08 08:50:32,107,138,310,88,169
2025-12-08 08:51:32,108,137,309,88,169
2025-12-08 08:52:32,109,137,309,88,169
2025-12-08 08:53:32,110,136,307,88,169
2025-12-08 08:54:33,111,137,309,88,169
2025-12-08 08:55:33,112,136,307,88,169
2025-12-08 08:56:33,113,137,309,88,169
2025-12-08 08:57:33,114,136,307,88,169
2025-12-08 08:58:34,115,137,308,88,169
2025-12-08 08:59:34,116,136,309,88,169
2025-12-08 09:00:34,117,136,309,88,169
2025-12-08 09:01:34,118,135,309,88,169
2025-12-08 09:02:35,119,135,309,88,169
2025-12-08 09:03:35,120,134,309,88,169
2025-12-08 09:04:35,121,134,309,88,169
2025-12-08 09:05:35,122,134,309,88,169
2025-12-08 09:06:36,123,134,309,88,169
2025-12-08 09:07:36,124,134,310,88,169
2025-12-08 09:08:36,125,134,310,88,169
2025-12-08 09:09:37,126,133,309,88,169
2025-12-08 09:10:37,127,132,309,88,169
2025-12-08 09:11:37,128,133,309,88,169
2025-12-08 09:12:38,129,134,308,88,169
2025-12-08 09:13:38,130,134,308,88,169
2025-12-08 09:14:38,131,134,308,88,169
2025-12-08 09:15:38,132,135,308,88,169
2025-12-08 09:16:39,133,134,308,88,169
2025-12-08 09:17:39,134,135,307,88,169
2025-12-08 09:18:39,135,138,308,88,169
2025-12-08 09:19:39,136,136,309,88,169
2025-12-08 09:20:40,137,136,307,88,169
2025-12-08 09:21:40,138,136,309,88,169
2025-12-08 09:22:40,139,136,310,88,169
2025-12-08 09:23:40,140,135,309,88,169
2025-12-08 09:24:41,141,137,309,88,169
2025-12-08 09:25:41,142,137,309,88,169
2025-12-08 09:26:42,143,137,309,88,169
2025-12-08 09:27:42,144,137,309,88,169
2025-12-08 09:28:42,145,137,309,88,169
2025-12-08 09:29:42,146,136,309,88,168
2025-12-08 09:30:43,147,136,309,89,169
2025-12-08 09:31:43,148,136,309,89,169
2025-12-08 09:32:43,149,136,309,89,169
2025-12-08 09:33:43,150,136,309,89,169
2025-12-08 09:34:44,151,135,308,89,169
2025-12-08 09:35:44,152,133,306,89,169
2025-12-08 09:36:44,153,133,306,90,169
2025-12-08 09:37:45,154,134,307,90,169
2025-12-08 09:38:45,155,135,309,90,169
2025-12-08 09:39:45,156,137,311,90,169
2025-12-08 09:40:45,157,137,310,90,169
2025-12-08 09:41:46,158,135,309,89,169
2025-12-08 09:42:46,159,135,310,89,169
2025-12-08 09:43:46,160,135,309,89,169
2025-12-08 09:44:47,161,137,310,89,169
2025-12-08 09:45:47,162,137,309,89,169
2025-12-08 09:46:47,163,137,310,89,169
2025-12-08 09:47:47,164,138,310,89,169
2025-12-08 09:48:47,165,138,310,89,169
2025-12-08 09:49:48,166,135,306,89,169
2025-12-08 09:50:48,167,139,310,89,169
2025-12-08 09:51:48,168,139,310,89,169
2025-12-08 09:52:49,169,139,310,89,169
2025-12-08 09:53:49,170,139,310,89,169
2025-12-08 09:54:49,171,139,310,89,169
2025-12-08 09:55:49,172,140,310,89,169
2025-12-08 09:56:49,173,140,310,89,169
2025-12-08 09:57:50,174,140,310,89,169
2025-12-08 09:58:50,175,140,310,89,169
2025-12-08 09:59:50,176,140,310,90,169
2025-12-08 10:00:51,177,140,310,90,169
2025-12-08 10:01:51,178,140,310,90,170
2025-12-08 10:02:51,179,141,310,89,169
2025-12-08 10:03:52,180,141,310,89,169
2025-12-08 10:04:52,181,141,310,90,169
2025-12-08 10:05:52,182,140,310,90,169
2025-12-08 10:06:52,183,140,309,90,169
2025-12-08 10:07:53,184,141,310,90,169
2025-12-08 10:08:53,185,141,310,90,169
2025-12-08 10:09:53,186,141,310,90,169
2025-12-08 10:10:53,187,141,310,90,169
2025-12-08 10:11:53,188,141,310,90,168
2025-12-08 10:12:54,189,140,309,91,169
2025-12-08 10:13:54,190,141,310,91,169
2025-12-08 10:14:54,191,141,310,91,169
2025-12-08 10:15:54,192,141,310,91,169
2025-12-08 10:16:54,193,141,310,91,169
2025-12-08 10:17:55,194,141,310,91,169
2025-12-08 10:18:55,195,141,310,91,169
2025-12-08 10:19:55,196,141,309,91,169
2025-12-08 10:20:55,197,142,310,91,169
2025-12-08 10:21:56,198,143,310,91,169
2025-12-08 10:22:56,199,143,310,91,169
2025-12-08 10:23:56,200,143,310,91,169
2025-12-08 10:24:57,201,143,310,91,169
2025-12-08 10:25:57,202,143,310,91,169
2025-12-08 10:26:57,203,142,310,91,169
2025-12-08 10:27:57,204,142,310,91,169
2025-12-08 10:28:58,205,143,309,91,169
2025-12-08 10:29:58,206,144,310,91,169
2025-12-08 10:30:58,207,144,310,91,169
2025-12-08 10:31:58,208,144,310,91,169
2025-12-08 10:32:59,209,144,309,91,169
2025-12-08 10:33:59,210,147,308,91,168
2025-12-08 10:34:59,211,148,309,92,169
2025-12-08 10:36:00,212,148,309,92,169
2025-12-08 10:37:00,213,148,309,92,169
2025-12-08 10:38:00,214,149,309,92,169
2025-12-08 10:39:01,215,148,308,92,169
2025-12-08 10:40:01,216,148,308,92,169
2025-12-08 10:41:01,217,148,308,92,169
2025-12-08 10:42:02,218,148,309,92,169
2025-12-08 10:43:02,219,148,309,91,168
2025-12-08 10:44:02,220,148,309,92,169
2025-12-08 10:45:03,221,148,309,93,170
2025-12-08 10:46:03,222,148,309,93,170
2025-12-08 10:47:03,223,148,309,93,170
2025-12-08 10:48:04,224,148,309,93,170
2025-12-08 10:49:04,225,148,309,93,170
2025-12-08 10:50:04,226,146,308,93,170
2025-12-08 10:51:05,227,147,310,93,170
2025-12-08 10:52:05,228,145,308,93,170
2025-12-08 10:53:05,229,146,309,93,170
2025-12-08 10:54:06,230,148,309,93,170
2025-12-08 10:55:06,231,147,308,93,170
2025-12-08 10:56:06,232,146,308,93,170
2025-12-08 10:57:06,233,146,307,93,170
2025-12-08 10:58:07,234,147,309,93,170
2025-12-08 10:59:07,235,147,309,93,170
2025-12-08 11:00:07,236,147,309,92,169
2025-12-08 11:01:08,237,147,309,92,169
2025-12-08 11:02:08,238,148,309,92,169
2025-12-08 11:03:08,239,146,307,92,169
2025-12-08 11:04:08,240,148,308,92,169
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-08 15:07:09,1,154,309,102,170
2025-12-08 15:08:10,2,153,309,102,170
2025-12-08 15:09:10,3,153,309,102,170
2025-12-08 15:10:10,4,153,309,102,170
2025-12-08 15:11:10,5,153,309,101,170
2025-12-08 15:12:11,6,153,309,101,170
2025-12-08 15:13:11,7,153,309,100,170
2025-12-08 15:14:11,8,153,309,100,170
2025-12-08 15:15:12,9,153,309,100,170
2025-12-08 15:16:12,10,153,309,100,170
2025-12-08 15:17:12,11,153,309,100,170
2025-12-08 15:18:13,12,154,309,100,170
2025-12-08 15:19:13,13,154,309,100,170
2025-12-08 15:20:13,14,154,309,100,170
2025-12-08 15:21:13,15,154,309,100,170
2025-12-08 15:22:14,16,154,307,100,170
2025-12-08 15:23:14,17,155,309,100,170
2025-12-08 15:24:14,18,154,308,101,170
2025-12-08 15:25:15,19,155,308,101,170
2025-12-08 15:26:15,20,155,308,101,170
2025-12-08 15:27:15,21,155,309,101,170
2025-12-08 15:28:15,22,155,308,101,170
2025-12-08 15:29:16,23,157,308,101,170
2025-12-08 15:30:16,24,158,308,101,170
2025-12-08 15:31:16,25,159,309,100,170
2025-12-08 15:32:16,26,159,309,100,170
2025-12-08 15:33:17,27,159,309,100,170
2025-12-08 15:34:17,28,159,309,100,170
2025-12-08 15:35:17,29,157,309,100,170
2025-12-08 15:36:18,30,157,309,100,170
2025-12-08 15:37:18,31,157,309,100,170
2025-12-08 15:38:18,32,157,309,100,170
2025-12-08 15:39:18,33,156,308,100,170
2025-12-08 15:40:19,34,157,308,100,170
2025-12-08 15:41:19,35,157,308,100,170
2025-12-08 15:42:19,36,155,308,100,170
2025-12-08 15:43:20,37,156,309,99,170
2025-12-08 15:44:20,38,156,309,99,170
2025-12-08 15:45:20,39,157,309,99,170
2025-12-08 15:46:21,40,157,309,100,170
2025-12-08 15:47:21,41,158,309,100,170
2025-12-08 15:48:21,42,157,308,100,170
2025-12-08 15:49:21,43,157,308,100,170
2025-12-08 15:50:21,44,157,308,100,170
2025-12-08 15:51:22,45,157,308,100,170
2025-12-08 15:52:22,46,157,308,100,170
2025-12-08 15:53:22,47,157,308,100,170
2025-12-08 15:54:23,48,157,306,100,170
2025-12-08 15:55:23,49,158,307,100,170
2025-12-08 15:56:23,50,158,308,100,170
2025-12-08 15:57:24,51,158,308,100,170
2025-12-08 15:58:24,52,157,307,100,170
2025-12-08 15:59:24,53,157,307,100,170
2025-12-08 16:00:25,54,157,307,100,170
2025-12-08 16:01:25,55,158,306,100,170
2025-12-08 16:02:25,56,159,308,100,170
2025-12-08 16:03:26,57,158,308,100,170
2025-12-08 16:04:26,58,158,308,100,170
2025-12-08 16:05:26,59,159,308,100,170
2025-12-08 16:06:26,60,159,308,100,170
2025-12-08 16:07:27,61,159,307,100,170
2025-12-08 16:08:27,62,159,308,100,170
2025-12-08 16:09:27,63,160,308,100,170
2025-12-08 16:10:28,64,158,307,100,170
2025-12-08 16:11:28,65,157,307,100,169
2025-12-08 16:12:28,66,157,307,101,169
2025-12-08 16:13:28,67,157,307,102,170
2025-12-08 16:14:28,68,156,307,102,170
2025-12-08 16:15:29,69,155,307,102,170
2025-12-08 16:16:29,70,154,307,102,170
2025-12-08 16:17:29,71,154,307,102,170
2025-12-08 16:18:29,72,154,307,102,170
2025-12-08 16:19:29,73,153,306,102,170
2025-12-08 16:20:30,74,155,307,102,170
2025-12-08 16:21:30,75,155,307,102,168
2025-12-08 16:22:30,76,155,307,102,168
2025-12-08 16:23:30,77,155,307,102,168
2025-12-08 16:24:30,78,155,307,102,168
2025-12-08 16:25:31,79,155,307,102,170
2025-12-08 16:26:31,80,155,307,102,170
2025-12-08 16:27:31,81,155,307,102,170
2025-12-08 16:28:31,82,155,307,102,170
2025-12-08 16:29:31,83,155,307,102,170
2025-12-08 16:30:32,84,155,307,102,170
2025-12-08 16:31:32,85,155,309,102,170
2025-12-08 16:32:32,86,154,308,102,170
2025-12-08 16:33:32,87,154,307,101,169
2025-12-08 16:34:33,88,155,308,101,169
2025-12-08 16:35:33,89,156,308,102,170
2025-12-08 16:36:33,90,156,308,102,170
2025-12-08 16:37:33,91,156,308,101,170
2025-12-08 16:38:34,92,156,308,101,170
2025-12-08 16:39:34,93,156,308,101,170
2025-12-08 16:40:34,94,156,308,101,170
2025-12-08 16:41:34,95,157,308,101,170
2025-12-08 16:42:35,96,157,308,101,170
2025-12-08 16:43:35,97,157,307,101,170
2025-12-08 16:44:35,98,158,308,101,170
2025-12-08 16:45:35,99,157,308,102,170
2025-12-08 16:46:35,100,156,308,102,170
2025-12-08 16:47:36,101,156,308,102,170
2025-12-08 16:48:36,102,155,308,102,171
2025-12-08 16:49:36,103,156,309,101,170
2025-12-08 16:50:36,104,155,308,101,170
2025-12-08 16:51:36,105,155,307,101,170
2025-12-08 16:52:37,106,156,308,100,169
2025-12-08 16:53:37,107,156,309,100,169
2025-12-08 16:54:37,108,156,309,100,169
2025-12-08 16:55:37,109,156,309,100,169
2025-12-08 16:56:38,110,154,309,100,169
2025-12-08 16:57:38,111,154,309,100,169
2025-12-08 16:58:38,112,154,309,100,169
2025-12-08 16:59:38,113,154,309,100,170
2025-12-08 17:00:38,114,154,309,100,170
2025-12-08 17:01:38,115,154,309,100,170
2025-12-08 17:02:39,116,154,310,100,170
2025-12-08 17:03:39,117,152,309,100,170
2025-12-08 17:04:39,118,151,308,100,170
2025-12-08 17:05:39,119,150,308,99,170
2025-12-08 17:06:39,120,150,309,99,170
2025-12-08 17:07:40,121,151,309,99,170
2025-12-08 17:08:40,122,152,309,99,170
2025-12-08 17:09:40,123,154,310,99,170
2025-12-08 17:10:40,124,153,311,99,170
2025-12-08 17:11:41,125,152,310,99,170
2025-12-08 17:12:41,126,151,309,99,170
2025-12-08 17:13:41,127,150,309,99,170
2025-12-08 17:14:41,128,150,309,99,169
2025-12-08 17:15:42,129,151,311,100,170
2025-12-08 17:16:42,130,151,310,100,170
2025-12-08 17:17:42,131,151,310,100,170
2025-12-08 17:18:42,132,151,310,100,170
2025-12-08 17:19:42,133,151,310,100,170
2025-12-08 17:20:43,134,152,310,100,170
2025-12-08 17:21:43,135,151,310,100,170
2025-12-08 17:22:43,136,153,310,100,170
2025-12-08 17:23:43,137,152,311,100,170
2025-12-08 17:24:44,138,151,310,100,170
2025-12-08 17:25:44,139,151,310,100,170
2025-12-08 17:26:44,140,152,311,100,170
2025-12-08 17:27:44,141,152,311,99,170
2025-12-08 17:28:45,142,152,311,99,170
2025-12-08 17:29:45,143,153,310,99,170
2025-12-08 17:30:45,144,154,312,99,170
2025-12-08 17:31:45,145,155,313,99,170
2025-12-08 17:32:46,146,154,311,99,170
2025-12-08 17:33:46,147,157,312,99,170
2025-12-08 17:34:46,148,157,312,99,170
2025-12-08 17:35:46,149,158,312,99,170
2025-12-08 17:36:47,150,158,312,99,170
2025-12-08 17:37:48,151,158,312,99,170
2025-12-08 17:38:48,152,158,312,99,170
2025-12-08 17:39:48,153,158,312,99,170
2025-12-08 17:40:49,154,158,313,99,170
2025-12-08 17:41:49,155,157,311,99,170
2025-12-08 17:42:49,156,157,311,99,170
2025-12-08 17:43:49,157,158,311,99,170
2025-12-08 17:44:50,158,159,310,99,170
2025-12-08 17:45:50,159,160,311,99,170
2025-12-08 17:46:50,160,159,311,99,170
2025-12-08 17:47:50,161,159,312,99,170
2025-12-08 17:48:51,162,157,311,99,170
2025-12-08 17:49:51,163,158,311,99,170
2025-12-08 17:50:51,164,159,311,99,170
2025-12-08 17:51:52,165,159,311,100,170
2025-12-08 17:52:52,166,160,310,100,170
2025-12-08 17:53:52,167,160,310,100,170
2025-12-08 17:54:52,168,160,309,100,170
2025-12-08 17:55:53,169,160,309,100,170
2025-12-08 17:56:53,170,159,306,100,170
2025-12-08 17:57:53,171,158,307,100,170
2025-12-08 17:58:53,172,158,306,100,170
2025-12-08 17:59:54,173,158,306,100,170
2025-12-08 18:00:54,174,159,308,100,170
2025-12-08 18:01:54,175,159,307,100,170
2025-12-08 18:02:55,176,160,307,100,170
2025-12-08 18:03:55,177,161,307,100,170
2025-12-08 18:04:55,178,161,307,100,170
2025-12-08 18:05:56,179,163,308,100,170
2025-12-08 18:06:56,180,163,309,100,170
2025-12-08 18:07:56,181,163,309,100,170
2025-12-08 18:08:56,182,162,309,100,170
2025-12-08 18:09:57,183,161,309,100,170
2025-12-08 18:10:57,184,161,309,100,170
2025-12-08 18:11:57,185,161,310,100,170
2025-12-08 18:12:57,186,160,309,100,170
2025-12-08 18:13:57,187,161,309,100,170
2025-12-08 18:14:58,188,162,309,100,170
2025-12-08 18:15:58,189,162,309,100,170
2025-12-08 18:16:58,190,162,309,100,170
2025-12-08 18:17:58,191,162,310,100,170
2025-12-08 18:18:59,192,162,309,100,170
2025-12-08 18:19:59,193,163,310,100,170
2025-12-08 18:20:59,194,163,310,100,170
2025-12-08 18:21:59,195,163,309,100,170
2025-12-08 18:23:00,196,164,308,100,170
2025-12-08 18:24:00,197,165,310,100,170
2025-12-08 18:25:00,198,165,310,100,170
2025-12-08 18:26:00,199,165,311,100,170
2025-12-08 18:27:01,200,164,310,100,170
2025-12-08 18:28:01,201,164,310,100,170
2025-12-08 18:29:01,202,165,309,100,170
2025-12-08 18:30:01,203,166,310,100,170
2025-12-08 18:31:02,204,166,310,100,170
2025-12-08 18:32:02,205,167,311,100,170
2025-12-08 18:33:02,206,167,311,100,170
2025-12-08 18:34:02,207,166,311,99,170
2025-12-08 18:35:02,208,167,311,99,169
2025-12-08 18:36:03,209,167,311,100,170
2025-12-08 18:37:03,210,167,311,100,170
2025-12-08 18:38:03,211,168,312,100,170
2025-12-08 18:39:03,212,167,313,100,170
2025-12-08 18:40:03,213,166,312,100,170
2025-12-08 18:41:04,214,167,312,100,170
2025-12-08 18:42:04,215,167,312,100,170
2025-12-08 18:43:04,216,167,312,100,170
2025-12-08 18:44:05,217,167,312,100,171
2025-12-08 18:45:05,218,167,312,99,170
2025-12-08 18:46:05,219,168,312,99,170
2025-12-08 18:47:05,220,168,312,99,170
2025-12-08 18:48:05,221,168,312,99,170
2025-12-08 18:49:06,222,168,312,99,170
2025-12-08 18:50:06,223,168,313,99,170
2025-12-08 18:51:06,224,167,312,99,170
2025-12-08 18:52:07,225,167,312,99,170
2025-12-08 18:53:07,226,167,312,99,170
2025-12-08 18:54:07,227,167,312,99,170
2025-12-08 18:55:08,228,167,312,98,170
2025-12-08 18:56:08,229,167,313,98,170
2025-12-08 18:57:08,230,166,312,98,170
2025-12-08 18:58:08,231,166,311,98,170
2025-12-08 18:59:09,232,167,312,98,170
2025-12-08 19:00:09,233,167,312,98,170
2025-12-08 19:01:09,234,167,312,98,170
2025-12-08 19:02:10,235,167,312,98,170
2025-12-08 19:03:10,236,167,312,98,170
2025-12-08 19:04:10,237,167,312,98,170
2025-12-08 19:05:10,238,167,312,98,170
2025-12-08 19:06:11,239,167,312,98,170
2025-12-08 19:07:11,240,167,312,98,170
